4010101001;Nama Produk;;Nama Material;;Jumlah Per Karton;Satuan
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,006408785;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,007690542;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;5,091394997;KG
;;;;;;
4010104001;WETKINS BABY BLUE 50S @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,1232;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;24;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003428568;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,010285704;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00571428;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,006857136;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;4,539652603;KG
;;;;;;
3050101001;WIP WETKINS BABY BLUE 50S ;3020303010;JR 40-76 H 20% R/80%P 36 CM ADPZ40;;1,1232;KG
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;24;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,002078;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,004987;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,009351;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,005195;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,006234;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,30%;0,012468;KG
;;1050100037;CHEMICAL AQUADEST ;99,03%;4,115528;KG
;;;;;;
4010104002;WETKINS BABY BLUE 50S BND @12X2;3050101001;WIP WETKINS BABY BLUE 50S ;;24;PCK
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2013100001;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;;1;PCS
;;2013100002;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;;1;PCS
;;2010606008;POLYBAG WETKINS BLUE 50S BND 06/22 @4615;;12;PCS
;;;;;;
4010104008;WETKINS BABY BLUE 50S BND OL @18X2;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,6848;KG
;;2010716001;CARTON BOX LACTACYD FEMININE HGN 10S ;;1;PCS
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;36;PCS
;;2010606001;POLYBAG WETKINS BLUE 50S @4615;;18;PCS
;;2010400042;STC LABEL QR ;;18;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;36;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,005142852;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,008228563;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,015428556;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00857142;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,010285704;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;6,809478905;KG
;;;;;;
4010104003;WETKINS BABY BLUE 50S FT @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,1232;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;24;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;24;PCS
;;2010601003;PLASTIK BANDED BABY BLUE 50S 1/22 ;;12;PCS
;;2010400042;STC LABEL QR ;;12;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003428568;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,010285704;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00571428;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,006857136;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;4,539652603;KG
;;;;;;
4010104004;WETKINS BABY BLUE 50S FT @14;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;0,6552;KG
;;2010717002;CARTON BOX 37X33X17 CM (HB 50S) ;;1;PCS
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;24;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;24;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;24;PCS
;;2010203001;STC FLIPTOP WKN BABY BLUE 50S FT @4000;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,001999998;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;#N/A;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;#N/A;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;#N/A;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;#N/A;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;#N/A;KG
;;;;;;
4010104005;WETKINS BABY BLUE 50S @6;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;0,2808;KG
;;2010717005;CARTON BOX SINGLE WALL 50S ON LINE ;;1;PCS
;;2010106001;PACKAGING WETKINS BABY BLUE 50S @5714;;6;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;6;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;6;PCS
;;2010203001;STC FLIPTOP WKN BABY BLUE 50S FT @4000;;6;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,000857142;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;#N/A;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;#N/A;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;#N/A;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;#N/A;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;#N/A;KG
;;;;;;
4010104007;WETKINS BABY BLUE 50S FT @16;;;;;
;;;;;;
4010104009;WETKINS BABY BLUE 50S @36;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,6848;KG
;;2010702002;CARTON BOX BIO-KARPELA FEMININE HGN 10S ;;1;PCS
;;2010106007;PACKAGING WETKINS BABY BLUE 50S 01/22 @4761;;36;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;36;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;#N/A;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;#N/A;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;#N/A;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;#N/A;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;#N/A;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;#N/A;KG
;;;;;;
4010104010;WETKINS BABY BLUE 50S BND @16X2;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,4976;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010106007;PACKAGING WETKINS BABY BLUE 50S 01/22 @4761;;32;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;32;PCS
;;2010606001;POLYBAG WETKINS BLUE 50S @4615;;16;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,004571424;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,007314278;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,013714272;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00761904;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,009142848;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;6,052870138;KG
;;;;;;
4010104011;WETKINS BABY BLUE 50S @32;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,4976;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010106007;PACKAGING WETKINS BABY BLUE 50S 01/22 @4761;;36;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;36;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;#N/A;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;#N/A;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;#N/A;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;#N/A;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;#N/A;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;#N/A;KG
;;;;;;
4010104006;WETKINS BABY BLUE 80S FT @18;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;0,7488;KG
;;2010717002;CARTON BOX 37X33X17 CM (HB 50S) ;;1;PCS
;;2010108001;PACKAGING WKN BLUE 80S FT @4166;;18;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;18;PCS
;;2010203005;STC FLIPTOP WKN BLUE 80S FT @4000;;18;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;18;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,002285712;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,003657139;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,23%;0,006857136;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00380952;KG
;;1050200021;PARFUM PREMIUM LD ;0,15%;0,004571424;KG
;;1050100037;CHEMICAL AQUADEST ;99,31%;3,026435069;KG
;;;;;;
4010105001;WETKINS BABY PINK 5S @384;3020301006;JR FN 40-76 H 30% R/70%P 28 CM;;1,344;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010102002;PACKAGING WKN BABY PINK 5S @10909;;384;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;384;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,00399168;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006386688;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,05%;0,002395008;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,0066528;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,03%;0,001596672;KG
;;1050100037;CHEMICAL AQUADEST ;99,61%;5,301217152;KG
;;;;;;
4010105002;WETKINS BABY PINK 5S FG @384;3020301006;JR FN 40-76 H 30% R/70%P 28 CM;;1,33;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010102002;PACKAGING WKN BABY PINK 5S @10909;;384;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;384;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;384;PCS
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,0079002;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,30%;0,0158004;KG
;;1050200017;PARFUM MELON FLOWERY 14576 ;0,05%;0,0026334;KG
;;1050100023;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,04%;0,00210672;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,10%;0,0052668;KG
;;1050100028;CHEMICAL SODIUM BENZOAT ;0,70%;0,0368676;KG
;;1050100037;CHEMICAL AQUADEST ;98,66%;5,19622488;KG
;;;;;;
3050102002;WIP WETKINS BABY PINK 10S ;3020303010;JR 40-76 H 20% R/80%P 36 CM ADPZ40;;1,01088;KG
;;2010103003;PACKAGING WKN PINK 10S DOFF @6250;;108;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;108;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,001870128;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,004488307;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,09%;0,00336623;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,002244154;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00467532;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,30%;0,011220768;KG
;;1050100037;CHEMICAL AQUADEST ;99,26%;3,712391093;KG
;;;;;;
4010106001;WETKINS BABY PINK 10S @12X9;3050102002;WIP WETKINS BABY PINK 10S ;;108;PCK
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010607001;PLASTIK PP 20X31 CM ;;0,03771;KG
;;;;;;
4010106002;WETKINS BABY PINK 10S BND @54X2;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,07892;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010103003;PACKAGING WKN PINK 10S DOFF @6250;;108;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;108;PCS
;;2010601001;PLASTIK BANDED 10S ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003418019;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005127028;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,010254056;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,002563514;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,004272523;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,006408785;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;4,240479276;KG
;;;;;;
4010107001;WETKINS BABY PINK 24S @54;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,294704;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010104002;PACKAGING WKN BABY PINK 24S @6060;;54;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;54;PCS
;;2010500004;KERTAS LABEL FOOD GRADE ALOE VERA ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,004101622;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006152433;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,012304867;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,003076217;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,005127028;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,007690542;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;5,088575131;KG
;;;;;;
4010107004;WETKINS BABY PINK 24S @6;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;0,143856;KG
