Kode Produk;Nama Produk;Nama Material;Jumlah Per Karton;Satuan
3050101001;WIP WETKINS BABY BLUE 50S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;1,1232;KG
;;PACKAGING WETKINS BABY BLUE 50S @5714;24;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002078;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004987;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,009351;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005195;KG
;;PARFUM PREMIUM LD ;0,006234;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,012468;KG
;;CHEMICAL AQUADEST ;4,115528;KG
;;;;
4010104002;WETKINS BABY BLUE 50S BND @12X2;WIP WETKINS BABY BLUE 50S ;24;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;1;PCS
;;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;1;PCS
;;POLYBAG WETKINS BLUE 50S BND 06/22 @4615;12;PCS
;;;;
4010104008;WETKINS BABY BLUE 50S BND OL @18X2;JR FN 40-76 H 20% R/80%P 36 CM;1,6848;KG
;;CARTON BOX LACTACYD FEMININE HGN 10S ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;36;PCS
;;POLYBAG WETKINS BLUE 50S @4615;18;PCS
;;STC LABEL QR ;18;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;36;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,005142852;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,008228563;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,015428556;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00857142;KG
;;PARFUM PREMIUM LD ;0,010285704;KG
;;CHEMICAL AQUADEST ;6,809478905;KG
;;;;
4010104003;WETKINS BABY BLUE 50S FT @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;PLASTIK BANDED BABY BLUE 50S 1/22 ;12;PCS
;;STC LABEL QR ;12;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003428568;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,010285704;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;PARFUM PREMIUM LD ;0,006857136;KG
;;CHEMICAL AQUADEST ;4,539652603;KG
;;;;
4010104004;WETKINS BABY BLUE 50S FT @14;JR FN 40-76 H 20% R/80%P 36 CM;0,6552;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;STC FLIPTOP WKN BABY BLUE 50S FT @4000;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,001999998;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;#N/A;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;#N/A;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;#N/A;KG
;;PARFUM PREMIUM LD ;#N/A;KG
;;CHEMICAL AQUADEST ;#N/A;KG
;;;;
4010104005;WETKINS BABY BLUE 50S @6;JR FN 40-76 H 20% R/80%P 36 CM;0,2808;KG
;;CARTON BOX SINGLE WALL 50S ON LINE ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S @5714;6;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;6;PCS
;;FLIP TOP WHITE (NEW CHINA) ;6;PCS
;;STC FLIPTOP WKN BABY BLUE 50S FT @4000;6;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,000857142;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;#N/A;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;#N/A;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;#N/A;KG
;;PARFUM PREMIUM LD ;#N/A;KG
;;CHEMICAL AQUADEST ;#N/A;KG
;;;;
4010104007;WETKINS BABY BLUE 50S FT @16;;;
;;;;
4010104009;WETKINS BABY BLUE 50S @36;JR FN 40-76 H 20% R/80%P 36 CM;1,6848;KG
;;CARTON BOX BIO-KARPELA FEMININE HGN 10S ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S 01/22 @4761;36;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;36;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;#N/A;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;#N/A;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;#N/A;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;#N/A;KG
;;PARFUM PREMIUM LD ;#N/A;KG
;;CHEMICAL AQUADEST ;#N/A;KG
;;;;
4010104010;WETKINS BABY BLUE 50S BND @16X2;JR FN 40-76 H 20% R/80%P 36 CM;1,4976;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S 01/22 @4761;32;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;32;PCS
;;POLYBAG WETKINS BLUE 50S @4615;16;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004571424;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,007314278;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,013714272;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00761904;KG
;;PARFUM PREMIUM LD ;0,009142848;KG
;;CHEMICAL AQUADEST ;6,052870138;KG
;;;;
4010104011;WETKINS BABY BLUE 50S @32;JR FN 40-76 H 20% R/80%P 36 CM;1,4976;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WETKINS BABY BLUE 50S 01/22 @4761;36;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;36;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;#N/A;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;#N/A;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;#N/A;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;#N/A;KG
;;PARFUM PREMIUM LD ;#N/A;KG
;;CHEMICAL AQUADEST ;#N/A;KG
;;;;
4010104006;WETKINS BABY BLUE 80S FT @18;JR FN 40-76 H 20% R/80%P 36 CM;0,7488;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WKN BLUE 80S FT @4166;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;STC FLIPTOP WKN BLUE 80S FT @4000;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002285712;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,003657139;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,006857136;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00380952;KG
;;PARFUM PREMIUM LD ;0,004571424;KG
;;CHEMICAL AQUADEST ;3,026435069;KG
;;;;
4010105001;WETKINS BABY PINK 5S @384;JR FN 40-76 H 30% R/70%P 28 CM;1,344;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY PINK 5S @10909;384;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;384;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,00399168;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006386688;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,002395008;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0066528;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,001596672;KG
;;CHEMICAL AQUADEST ;5,301217152;KG
;;;;
4010105002;WETKINS BABY PINK 5S FG @384;JR FN 40-76 H 30% R/70%P 28 CM;1,33;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY PINK 5S @10909;384;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;384;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;384;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0079002;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0158004;KG
;;PARFUM MELON FLOWERY 14576 ;0,0026334;KG
;;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,00210672;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0052668;KG
;;CHEMICAL SODIUM BENZOAT ;0,0368676;KG
;;CHEMICAL AQUADEST ;5,19622488;KG
;;;;
3050102002;WIP WETKINS BABY PINK 10S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;1,01088;KG
;;PACKAGING WKN PINK 10S DOFF @6250;108;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;108;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,001870128;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004488307;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,00336623;KG
;;PARFUM BABY YELLOW MOD I ;0,002244154;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00467532;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,011220768;KG
;;CHEMICAL AQUADEST ;3,712391093;KG
;;;;
4010106001;WETKINS BABY PINK 10S @12X9;WIP WETKINS BABY PINK 10S ;108;PCK
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PLASTIK PP 20X31 CM ;0,03771;KG
;;;;
4010106002;WETKINS BABY PINK 10S BND @54X2;JR FN 40-76 H 30% R/70%P 27 CM;1,07892;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WKN PINK 10S DOFF @6250;108;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;108;PCS
;;PLASTIK BANDED 10S ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003418019;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005127028;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,010254056;KG
;;PARFUM BABY YELLOW MOD I ;0,002563514;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,004272523;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006408785;KG
;;CHEMICAL AQUADEST ;4,240479276;KG
;;;;
4010107001;WETKINS BABY PINK 24S @54;JR FN 40-76 H 30% R/70%P 27 CM;1,294704;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY PINK 24S @6060;54;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;54;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004101622;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006152433;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,012304867;KG
;;PARFUM BABY YELLOW MOD I ;0,003076217;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,005127028;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,007690542;KG
;;CHEMICAL AQUADEST ;5,088575131;KG
;;;;
4010107004;WETKINS BABY PINK 24S @6;JR FN 40-76 H 30% R/70%P 27 CM;0,143856;KG
;;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;1;PCS
;;PLASTIK BANDED 24S ;3;PCS
;;PACKAGING WKN BABY PINK 24S @6060;6;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;6;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;6;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,000455736;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,000683604;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,001367207;KG
;;PARFUM BABY YELLOW MOD I ;0,000341802;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,00056967;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,000854505;KG
;;CHEMICAL AQUADEST ;0,565397237;KG
;;;;
4010107002;WETKINS BABY PINK 24S FG @54;JR FN 40-76 H 30% R/70%P 27 CM;1,294704;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN BABY PINK 24S @6060;54;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;54;PCS
;;KERTAS LABEL FOOD GRADE ALOE VERA ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004101622;KG
